"From RF,ET"
0.038345882375343296,0.06884793811283081,GNB
0.04327585741958766,0.06648176473266654,GNB
0.04924071680136792,0.06368211428072602,GNB
0.051827462830410266,0.062487734415393646,GNB
0.05688741557981152,0.3857303552108379,DT
0.05705968302124025,0.0601054772219407,GNB
0.06530298937067042,0.05643594082291965,GNB
0.06532916939227855,0.05642443876145936,GNB
0.06654993567996254,0.055889121401732605,GNB
0.07157124934196309,0.053707630931025194,GNB
0.07738546507410392,0.38924527878180526,GNB
0.08678391097937457,0.3828595687875894,GNB
0.08891553025012272,0.046400575507017205,GNB
0.08922203086046357,0.04627434528835128,GNB
0.0906044288393936,0.04570617434023852,GNB
0.09263349789384567,0.04487561302961279,GNB
0.09329771153347835,0.36106832440666947,DT
0.09662639668521211,0.04325267586270695,GNB
0.09863300653145397,0.04244266584917507,GNB
0.10320735513837274,0.354562719699803,DT
0.1072386179783764,0.2016257717412711,GNB
0.1096163972413789,0.60552900088809,DT
0.10971713453482639,0.038031939353705094,GNB
0.11207636654441908,0.03710635529304104,GNB
0.11631786929036714,0.03545336437994373,GNB
0.11822733243760708,0.034713733400485725,GNB
0.11973443324702304,0.03413189619484211,GNB
0.12228226904770856,0.033152093138317684,GNB
0.12240902846083003,0.03310347020674216,GNB
0.12810128996815928,0.338553255116052,DT
0.1282131408868464,0.030889407079759484,GNB
0.1285686898138879,0.030754547354886003,GNB
0.12912070255769903,0.03054534180560245,GNB
0.12995923247293548,0.030227950623323563,GNB
0.13380835131196067,0.028777139494328724,GNB
0.13909516139424694,0.026800393639323655,GNB
0.14077140031913224,0.3475240838445717,GNB
0.1413169674079994,0.025975016083896185,GNB
0.14167492904644685,0.33000830078763155,DT
0.14244588703560554,0.1826289334892339,GNB
0.15003289421541813,0.022766599437571172,GNB
0.15079273617918457,0.17826602480331896,GNB
0.1516344275747864,0.17782884097773477,GNB
0.15424239932874742,0.02123327712715209,GNB
0.15482494778846612,0.3386529149796339,GNB
0.15726435046395232,0.17491733685929228,GNB
0.158897966165651,0.019549319889561434,GNB
0.16000536996263662,0.17350773259840294,GNB
0.16274744920486017,0.018166074272157162,GNB
0.1649223415112322,0.01738814338463404,GNB
0.16533773733195942,0.017239851780844306,GNB
0.16772405705268875,0.16956545608791038,GNB
0.17072624284578827,0.16804271960036363,GNB
0.17174499838189905,0.014964110785168072,GNB
0.17437768047069377,0.30990083726279594,DT
0.17483614108555973,0.013873822859463286,GNB
0.17593559347147525,0.013487204337636588,GNB
0.17622170700450143,0.1652704127317857,GNB
0.17699928510120908,0.013113741174966415,GNB
0.17922292385700234,0.5936657550274981,DT
0.17932664924677946,0.323467885690622,GNB
0.17964962348246058,0.16355081641378008,GNB
0.1801056547527378,0.3064440745166024,DT
0.18162916186242653,0.4961042907701002,DT
0.18367659696823135,0.16154005036740815,GNB
0.18780295302952638,0.15948997128004455,GNB
0.18995930800075894,0.15842273544187907,GNB
0.1904554344886273,0.3166818878137039,GNB
0.19070933437969217,0.00834977937632242,GNB
0.19159219520405307,0.008046076511134231,GNB
0.1923764389709131,0.4022385772023625,DT
0.1928183833857009,0.007624870095260777,GNB
0.19302158220410345,0.45595148756118586,DT
0.19713049022080464,0.29627698227109545,DT
0.1978878590232784,0.1545224326664775,GNB
0.19795112189690672,0.31214848683703394,GNB
0.19921261765530998,0.00543955622508599,GNB
0.20037275069846067,0.3582152321519206,DT
0.20569957281836487,0.15071531518207654,GNB
0.20589620519122218,0.15061993296761964,GNB
0.20834659113813625,0.39176507865263654,DT
0.2084585174601316,0.14937899800269322,GNB
0.21102077985213397,0.14814175815324226,GNB
0.21279087239774958,0.14728916043415757,GNB
0.2145677642586833,0.00026557869474744256,GNB
0.21631159689783658,-0.00031564420590626807,GNB
0.22019395652192242,0.14374191634151823,GNB
0.22209674346887356,-0.0022348353144628075,GNB
0.22315953606850852,-0.002585922634537441,GNB
0.22427186515033298,-0.0029528843646433323,GNB
0.22469322515205215,-0.0030917623249860915,GNB
0.22509007247240181,0.5185662603336199,DT
0.22670774080649894,-0.0037547502968857116,GNB
0.22708193114636702,0.1404679618453488,GNB
0.22827103003204718,0.37885792101958793,DT
0.22942342398304422,-0.00464593330087798,GNB
0.22974418367968602,-0.004751001211911771,GNB
0.23015794596844158,-0.004886473008690467,GNB
0.23128480945353375,-0.00525508252968504,GNB
0.2321410495731006,-0.005534834628593971,GNB
0.23309565912923935,-0.005846387795782809,GNB
0.23610552799495443,0.40230707995064807,DT
0.23931079812855693,-0.007866164900170947,GNB
0.23931399712551965,-0.007867200675555519,GNB
0.2401420252217774,-0.008135169401813636,GNB
0.2404939315036015,0.2869525707227996,GNB
0.24113001468346276,-0.008454563728932912,GNB
0.2429968048978442,0.13299791616553042,GNB
0.2436780017007269,0.28510155736987947,GNB
0.24643745299918132,-0.010164026300018364,GNB
0.2471986537626164,0.36675272564600303,DT
0.24772173084491864,0.39176712197579866,GNB
0.24896596381703756,0.1302291913615905,GNB
0.24919043402460597,0.13012541770967032,GNB
0.24985547803097932,-0.011259357431898959,GNB
0.2518315011929293,0.1289062980541162,GNB
0.2531287937450111,-0.012304273128879717,GNB
0.25384158799142403,-0.01253129260168273,GNB
0.25672666512868836,0.12665567866366167,GNB
0.2572429503017514,0.12641898554116193,GNB
0.2590271543624289,0.359261852203452,DT
0.260553945336261,0.12490408859694224,GNB
0.26495200970738214,-0.016046168735352445,GNB
0.2666811633542201,0.12211443474534145,GNB
0.2666855518967405,0.12211244304318031,GNB
0.2681676171981285,0.35351110040211603,DT
0.27314202162955176,0.11919197203544551,GNB
0.27372905177731227,0.5455015602621396,DT
0.27545608056744375,-0.019329081798036607,GNB
0.2798525831505038,-0.02069183032926869,GNB
0.2801076986392138,0.45186158828147616,DT
0.280577618607701,-0.020915930108972636,GNB
0.28316193065874873,0.11469767683116572,GNB
0.2862173042158276,-0.02265301510990997,GNB
0.29122123772807007,0.11111570031524587,GNB
0.29203116320323574,0.5315833697038262,DT
0.29245377008930723,0.11057044762468793,GNB
0.29280521367330214,-0.024668661522347646,GNB
0.293989979996216,-0.025029625535097577,GNB
0.2953301562480083,0.1093005869088583,GNB
0.2969334347035817,0.4450343512763637,DT
0.29909885511978235,0.10764228174831114,GNB
0.29928197476087204,0.10756186324635414,GNB
0.29976315088478644,-0.026781935632398557,GNB
0.3000228700765834,-0.026860510732301446,GNB
0.30108063300923615,0.23728126342865974,DT
0.3037318968341592,0.10561211542498372,GNB
0.3076558778046415,-0.02916001033038279,GNB
0.3076874607487032,0.10388614158782356,GNB
0.30810713680294716,-0.02929536611790018,GNB
0.31108274611959275,-0.030186267746298845,GNB
0.3112213119142762,-0.030227685417411387,GNB
0.31270222053742514,0.23098035009376006,DT
